이름,세부카테고리,주소,위도,경도,전화번호,링크
장인닭갈비 강남점,한식>닭갈비,서울특별시 강남구 테헤란로1길 19,37.4996548,127.0274938,,https://jangindak.co.kr/
고수닭갈비,한식>닭갈비,서울특별시 강남구 강남대로96길 12 지천빌딩 지하1층,37.4997744,127.0281716,,
부대찌개대사관 선릉직영점,"한식>찌개,전골",서울특별시 강남구 선릉로86길 24 지상 1층,37.5034990,127.0516770,,https://blog.naver.com/embassy-
류몽민 학동역점,한식>닭갈비,서울특별시 강남구 학동로25길 11 씨플레이스 2층 101호,37.5143513,127.0289295,,https://smartstore.naver.com/ryumokmin
미나리밭오리사냥 강남역점,한식>오리요리,서울특별시 강남구 테헤란로1길 28-8 1층,37.5003294,127.0281201,,https://www.instagram.com/minari_duck
동어동락 삼성본점,한식>생선회,서울특별시 강남구 삼성로96길 7 1층,37.5088156,127.0564470,,https://app.catchtable.co.kr/ct/shop/dongadongrock_samseong
대진 도원참치 강남역점,한식>생선회,서울특별시 강남구 테헤란로 113 목화밀라트 지하1층 도원참치 강남역,37.4988646,127.0296469,,https://youtube.com/@dowontuna
백세삼계탕 강동점,"한식>백숙,삼계탕",서울특별시 강동구 양재대로 1401,37.5313001,127.1370607,,
등갈비달인 본점,"한식>육류,고기요리",서울특별시 강동구 천호대로158길 25 1층,37.5362863,127.1263331,,https://www.facebook.com/emdrkfql/
대팔이네곱창 천호본점,"한식>곱창,막창,양",서울특별시 강동구 구천면로24길 20-9 1층,37.5398398,127.1254825,,https://instagram.com/tiger_sden
119닭발 천호 본점,한식>닭발,서울특별시 강동구 천중로 73,37.5449999,127.1301681,,https://blog.naver.com/119gram
119닭발 성내점,한식>닭발,서울특별시 강동구 양재대로87길 81 1층 119닭발 성내점,37.5264388,127.1305704,,https://blog.naver.com/119gram
명인갈비 미아점,"한식>육류,고기요리",서울특별시 강북구 솔샘로 327 테마빌딩 1층 101호 명인갈비 미아점,37.6173484,127.0285916,,https://app.catchtable.co.kr/ct/shop/migbmia
수유곱창 황주집 본점,"한식>곱창,막창,양",서울특별시 강북구 도봉로 372 단충,37.6401750,127.0282810,,https://www.instagram.com/
짚신매운갈비찜 미아본점,"한식>육류,고기요리",서울특별시 강북구 월계로7나길 30-9 1층,37.6128385,127.0319616,,http://www.zipsinfood.co.kr/
이설함흥냉면 수유본점,한식>냉면,서울특별시 강북구 4.19로 42 이설함흥냉면 수유본점,37.6473378,127.0096772,,http://m.smartstore.naver.com/gt3
수유골목냉면 본점,한식>냉면,서울특별시 강북구 솔매로45길 92,37.6300292,127.0240125,,https://golmokicenoodle.com/
낙지일번지 수유본점,한식>낙지요리,서울특별시 강북구 도봉로89길 10,37.6392031,127.0260760,,https://blog.naver.com/nakji1bunji
호조참치,한식>생선회,서울특별시 강북구 한천로 1062,37.6415762,127.0249424,,
화곡영양족발,"한식>족발,보쌈",서울특별시 강서구 초록마을로2길 48 1층 화곡영양족발,37.5432636,126.8434604,,https://hwagok-jokbal.wywh.co.kr/
돈구멍 마곡본점,"한식>육류,고기요리",서울특별시 강서구 마곡동로 62 마곡사이언스타워 2층스타벅스옆/201호 돈구멍 마곡본점,37.5605971,126.8338655,,https://catchtable.co.kr/dongumung_magok
산청숯불가든 마곡,"한식>육류,고기요리",서울특별시 강서구 마곡중앙8로 85 1층 102~108호,37.5610828,126.8369018,,https://www.instagram.com/sancheongin/
광선집 마곡 발산역 직영점,"한식>육류,고기요리",서울특별시 강서구 강서로 415 1층 101호,37.5626000,126.8389386,,https://app.catchtable.co.kr/ct/shop/gwangseonjib.MG
쭈박사 마곡점,한식>주꾸미요리,서울특별시 강서구 마곡동로10길 23 대방디엠시티2차오피스텔 1층 130호 쭈박사 마곡점,37.5689322,126.8391317,,https://www.instagram.com/jjudoctor/
이조면옥,한식>냉면,서울특별시 강서구 양천로 353,37.5683668,126.8421829,,
막회집,한식>생선회,서울특별시 강서구 마곡서로 152 두산더랜드타워 B동 112호113호,37.5676701,126.8259797,,https://app.catchtable.co.kr/ct/shop/makhoejip
쭈앤쭈 서울대본점,한식>주꾸미요리,서울특별시 관악구 관악로14길 11 1층 쭈앤쭈 서울대본점,37.4792455,126.9532191,,https://www.instagram.com/jjunjju.kr
부뚜막 신림본점,"한식>육류,고기요리","서울특별시 관악구 남부순환로 1597-15 1층, 부뚜막",37.4847139,126.9275761,,
월화고기 보라매점,"한식>육류,고기요리",서울특별시 관악구 보라매로3길 16,37.4916407,126.9263015,,https://blog.naver.com/wolhwa_gogi
강강술래 신림본동점,"한식>육류,고기요리",서울특별시 관악구 남부순환로 1660,37.4846464,126.9350249,,https://sullai.com/
유가네닭갈비 신림점,한식>닭갈비,서울특별시 관악구 남부순환로176길 9 제일빌딩,37.4835458,126.9284710,,https://www.instagram.com/yoogane_sillim
계탄언니 사당본점,한식>닭갈비,서울특별시 관악구 과천대로 951 지하 1층,37.4755188,126.9813088,,https://luckygirls.co.kr/
하와이조개 신림본점,한식>조개요리,서울특별시 관악구 신림로59길 15-6 1층 하와이조개 신림본점,37.4828380,126.9289721,,http://하와이조개.com/
속초오징어어시장 서울대입구역점,한식>생선회,서울특별시 관악구 남부순환로224길 13 1층,37.4801978,126.9534015,,
숙성부심 군자본점,한식>돼지고기구이,서울특별시 광진구 능동로 267 1층,37.5539087,127.0774430,,https://www.instagram.com/sooksungboosim?igsh=MWU1aGZyeTJscjVhOQ==
